Tiempo (s)	Voltaje (V)
0.000000	2.576128
0.001000	2.572911
0.002000	2.569372
0.003000	2.564868
0.004000	2.558756
0.005000	2.552322
0.006000	2.548461
0.007000	2.546209
0.008000	2.546531
0.009000	2.547818
0.010000	2.550392
0.011000	2.554896
0.012000	2.559721
0.013000	2.564225
0.014000	2.567442
0.015000	2.571303
0.016000	2.573233
0.017000	2.574520
0.018000	2.573555
0.019000	2.571303
0.020000	2.570016
0.021000	2.568407
0.022000	2.566477
0.023000	2.566799
0.024000	2.569051
0.025000	2.572589
0.026000	2.578058
0.027000	2.584171
0.028000	2.591570
0.029000	2.598969
0.030000	2.605404
0.031000	2.611194
0.032000	2.614090
0.033000	2.615376
0.034000	2.614411
0.035000	2.611838
0.036000	2.607012
0.037000	2.601865
0.038000	2.595752
0.039000	2.591248
0.040000	2.588353
0.041000	2.588996
0.042000	2.590283
0.043000	2.595431
0.044000	2.602508
0.045000	2.611516
0.046000	2.620524
0.047000	2.628566
0.048000	2.635322
0.049000	2.639504
0.050000	2.640791
0.051000	2.640470
0.052000	2.635644
0.053000	2.630175
0.054000	2.621811
0.055000	2.614733
0.056000	2.606690
0.057000	2.599935
0.058000	2.594144
0.059000	2.589962
0.060000	2.587710
0.061000	2.587388
0.062000	2.589318
0.063000	2.591570
0.064000	2.593500
0.065000	2.596396
0.066000	2.596717
0.067000	2.595752
0.068000	2.592535
0.069000	2.587710
0.070000	2.581597
0.071000	2.575163
0.072000	2.568086
0.073000	2.563903
0.074000	2.561330
0.075000	2.561008
0.076000	2.562616
0.077000	2.566477
0.078000	2.571946
0.079000	2.575806
0.080000	2.580954
0.081000	2.585136
0.082000	2.585779
0.083000	2.586423
0.084000	2.583849
0.085000	2.580954
0.086000	2.576128
0.087000	2.570981
0.088000	2.566799
0.089000	2.562295
0.090000	2.560043
0.091000	2.559399
0.092000	2.560043
0.093000	2.562938
0.094000	2.567120
0.095000	2.572589
0.096000	2.578380
0.097000	2.582562
0.098000	2.585136
0.099000	2.586423
0.100000	2.586101
0.101000	2.583527
0.102000	2.579667
0.103000	2.574841
0.104000	2.569694
0.105000	2.564225
0.106000	2.560686
0.107000	2.558756
0.108000	2.558756
0.109000	2.560043
0.110000	2.562616
0.111000	2.567120
0.112000	2.571624
0.113000	2.575806
0.114000	2.579345
0.115000	2.581275
0.116000	2.581275
0.117000	2.580954
0.118000	2.578058
0.119000	2.575163
0.120000	2.568729
0.121000	2.563903
0.122000	2.559399
0.123000	2.555539
0.124000	2.554574
0.125000	2.555539
0.126000	2.558113
0.127000	2.563260
0.128000	2.567764
0.129000	2.573555
0.130000	2.578702
0.131000	2.582562
0.132000	2.585136
0.133000	2.586101
0.134000	2.584171
0.135000	2.580632
0.136000	2.576450
0.137000	2.570981
0.138000	2.565834
0.139000	2.561330
0.140000	2.558756
0.141000	2.557791
0.142000	2.558113
0.143000	2.560043
0.144000	2.564225
0.145000	2.570659
0.146000	2.576450
0.147000	2.582241
0.148000	2.585458
0.149000	2.587710
0.150000	2.587388
0.151000	2.583849
0.152000	2.578380
0.153000	2.572268
0.154000	2.565834
0.155000	2.560043
0.156000	2.555861
0.157000	2.554896
0.158000	2.555539
0.159000	2.558113
0.160000	2.563582
0.161000	2.570016
0.162000	2.577093
0.163000	2.583849
0.164000	2.588675
0.165000	2.592535
0.166000	2.593179
0.167000	2.591570
0.168000	2.586745
0.169000	2.579345
0.170000	2.569051
0.171000	2.555861
0.172000	2.538488
0.173000	2.520151
0.174000	2.498275
0.175000	2.473825
0.176000	2.446802
0.177000	2.416883
0.178000	2.383426
0.179000	2.348038
0.180000	2.307825
0.181000	2.261820
0.182000	2.210026
0.183000	2.153727
0.184000	2.094854
0.185000	2.034374
0.186000	1.969389
0.187000	1.899900
0.188000	1.827838
0.189000	1.756740
0.190000	1.694651
0.191000	1.640282
0.192000	1.602321
0.193000	1.594922
0.194000	1.628379
0.195000	1.709449
0.196000	1.841028
0.197000	2.022792
0.198000	2.250882
0.199000	2.517899
0.200000	2.811939
0.201000	3.118205
0.202000	3.425756
0.203000	3.727196
0.204000	4.017376
0.205000	4.295009
0.206000	4.559130
0.207000	4.794942
0.208000	4.846737
0.209000	4.855101
0.210000	4.860248
0.211000	4.864109
0.212000	4.867004
0.213000	4.869256
0.214000	4.871508
0.215000	4.872795
0.216000	4.873438
0.217000	4.874403
0.218000	4.875047
0.219000	4.875368
0.220000	4.875690
0.221000	4.876012
0.222000	4.877299
0.223000	4.876977
0.224000	4.877299
0.225000	4.877620
0.226000	4.877299
0.227000	4.876655
0.228000	4.874403
0.229000	4.871508
0.230000	4.865396
0.231000	4.853171
0.232000	4.810062
0.233000	4.668833
0.234000	4.454897
0.235000	4.200105
0.236000	3.925689
0.237000	3.647091
0.238000	3.380396
0.239000	3.133003
0.240000	2.915529
0.241000	2.731834
0.242000	2.585779
0.243000	2.474790
0.244000	2.397581
0.245000	2.348038
0.246000	2.320371
0.247000	2.308790
0.248000	2.305573
0.249000	2.309433
0.250000	2.314259
0.251000	2.319728
0.252000	2.322945
0.253000	2.323588
0.254000	2.321014
0.255000	2.316511
0.256000	2.310720
0.257000	2.304929
0.258000	2.298817
0.259000	2.293026
0.260000	2.286592
0.261000	2.278871
0.262000	2.271150
0.263000	2.262464
0.264000	2.253134
0.265000	2.242840
0.266000	2.232223
0.267000	2.220320
0.268000	2.208095
0.269000	2.195549
0.270000	2.182359
0.271000	2.170777
0.272000	2.160483
0.273000	2.153405
0.274000	2.148580
0.275000	2.147293
0.276000	2.147614
0.277000	2.151475
0.278000	2.155979
0.279000	2.161448
0.280000	2.167560
0.281000	2.173029
0.282000	2.176890
0.283000	2.177211
0.284000	2.177533
0.285000	2.175281
0.286000	2.171421
0.287000	2.165308
0.288000	2.160483
0.289000	2.156300
0.290000	2.153727
0.291000	2.152440
0.292000	2.152440
0.293000	2.155657
0.294000	2.159196
0.295000	2.163056
0.296000	2.168525
0.297000	2.173673
0.298000	2.176568
0.299000	2.178177
0.300000	2.176890
0.301000	2.173994
0.302000	2.169490
0.303000	2.163700
0.304000	2.157587
0.305000	2.152762
0.306000	2.150188
0.307000	2.148258
0.308000	2.149545
0.309000	2.152118
0.310000	2.154692
0.311000	2.159518
0.312000	2.164343
0.313000	2.168847
0.314000	2.173994
0.315000	2.176890
0.316000	2.177855
0.317000	2.176890
0.318000	2.174638
0.319000	2.172064
0.320000	2.166917
0.321000	2.163378
0.322000	2.159518
0.323000	2.158231
0.324000	2.157587
0.325000	2.158231
0.326000	2.160161
0.327000	2.164343
0.328000	2.169490
0.329000	2.175603
0.330000	2.180750
0.331000	2.184932
0.332000	2.186541
0.333000	2.188149
0.334000	2.187184
0.335000	2.183967
0.336000	2.179785
0.337000	2.173994
0.338000	2.167239
0.339000	2.162413
0.340000	2.158231
0.341000	2.154370
0.342000	2.153405
0.343000	2.154049
